Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
2,explore_point,explore_point_-4.4_-4.2,Rover1,0.0,15.250000000000082
4,explore_point,explore_point_-4.4_-3.8,Rover1,15.80000000000009,19.100000000000136
5,explore_point,explore_point_-4.4_-3.6,Rover1,19.650000000000144,21.950000000000177
6,explore_point,explore_point_-4.4_-3.4,Rover1,22.500000000000185,24.600000000000215
7,explore_point,explore_point_-4.4_-3.2,Rover1,25.150000000000222,27.85000000000026
8,explore_point,explore_point_-4.4_-3.0,Rover1,28.40000000000027,31.100000000000307
9,explore_point,explore_point_-4.4_-2.8,Rover1,31.650000000000315,33.95000000000021
3,explore_point,explore_point_-4.4_-4.0,Rover2,0.0,34.85000000000016
10,explore_point,explore_point_-4.4_-2.6,Rover1,34.85000000000016,37.45000000000001
12,explore_point,explore_point_-4.4_-2.2,Rover1,37.99999999999998,41.49999999999978
13,explore_point,explore_point_-4.4_-2.0,Rover1,42.04999999999975,44.14999999999963
14,explore_point,explore_point_-4.4_-1.8,Rover1,44.6999999999996,47.59999999999943
15,explore_point,explore_point_-4.4_-1.6,Rover1,48.1499999999994,50.24999999999928
11,explore_point,explore_point_-4.4_-2.4,Rover2,35.40000000000013,51.34999999999922
16,explore_point,explore_point_-4.4_-1.4,Rover1,50.79999999999925,54.14999999999906
18,explore_point,explore_point_-4.4_-1.0,Rover1,54.69999999999903,58.799999999998796
19,explore_point,explore_point_-4.4_-0.8,Rover1,59.349999999998765,61.449999999998646
17,explore_point,explore_point_-4.4_-1.2,Rover2,51.89999999999919,62.499999999998586
20,explore_point,explore_point_-4.4_-0.6,Rover1,61.999999999998614,66.99999999999834
22,explore_point,explore_point_-4.4_-0.2,Rover1,67.49999999999831,72.849999999998
23,explore_point,explore_point_-4.4_0.0,Rover1,73.29999999999798,74.49999999999791
1,explore_point,explore_point_-4.4_-4.4,Rover0,0.0,114.54999999999563
21,explore_point,explore_point_-4.4_-0.4,Rover2,65.54999999999842,123.14999999999515
24,explore_point,explore_point_-4.4_0.2,Rover1,74.94999999999789,131.39999999999563
26,explore_point,explore_point_-4.4_0.6,Rover2,123.64999999999512,136.29999999999674
27,explore_point,explore_point_-4.4_0.8,Rover1,131.94999999999575,137.29999999999697
28,explore_point,explore_point_-4.4_1.0,Rover2,137.19999999999695,141.3499999999979
29,explore_point,explore_point_-4.4_1.2,Rover1,137.8499999999971,141.849999999998
30,explore_point,explore_point_-4.4_1.4,Rover2,142.2499999999981,146.09999999999897
31,explore_point,explore_point_-4.4_1.6,Rover1,142.34999999999812,147.0999999999992
32,explore_point,explore_point_-4.4_1.8,Rover2,146.99999999999918,151.15000000000012
33,explore_point,explore_point_-4.4_2.0,Rover1,147.64999999999932,151.65000000000023
