Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
1,adjust_pH,Field_9,Rover0,11:13:29,11:13:30
3,adjust_pH,Field_23,Rover0,11:13:30,11:13:36
2,adjust_pH,Field_19,Rover1,11:13:29,11:13:37
4,adjust_pH,Field_10,Rover0,11:13:36,11:13:44
5,restore_humidity,Field_1,Rover0,11:13:59,11:14:17
6,restore_humidity,Field_17,Rover0,11:14:55,11:15:10
7,visit_scan,Field_0,Rover1,11:15:09,11:15:25
9,visit_scan,Field_2,Rover1,11:15:25,11:15:31
8,visit_scan,Field_1,Rover0,11:15:10,11:16:04
10,visit_scan,Field_3,Rover1,11:15:31,11:16:05
11,visit_scan,Field_4,Rover0,11:16:04,11:16:12
12,visit_scan,Field_5,Rover1,11:16:06,11:16:14
14,visit_scan,Field_7,Rover1,11:16:14,11:16:20
13,visit_scan,Field_6,Rover0,11:16:12,11:16:21
15,visit_scan,Field_8,Rover1,11:16:20,11:17:04
16,visit_scan,Field_9,Rover0,11:16:22,11:17:11
17,visit_scan,Field_10,Rover1,11:17:04,11:17:24
19,visit_scan,Field_12,Rover1,11:17:25,11:18:05
20,visit_scan,Field_13,Rover1,11:18:06,11:18:08
18,visit_scan,Field_11,Rover0,11:17:11,11:18:14
21,visit_scan,Field_14,Rover1,11:18:09,11:18:21
22,visit_scan,Field_15,Rover1,11:18:21,11:18:24
23,visit_scan,Field_16,Rover1,11:18:24,11:18:27
43,restore_humidity,Field_13,Rover0,11:18:14,11:19:07
24,visit_scan,Field_18,Rover1,11:18:27,11:19:12
25,visit_scan,Field_19,Rover0,11:19:08,11:19:20
26,visit_scan,Field_20,Rover1,11:19:12,11:19:21
50,restore_humidity,Field_19,Rover1,11:19:21,11:19:25
27,visit_scan,Field_21,Rover1,11:19:25,11:20:09
28,visit_scan,Field_22,Rover1,11:20:09,11:20:13
49,restore_humidity,Field_18,Rover0,11:19:20,11:20:16
53,restore_humidity,Field_21,Rover1,11:20:13,11:20:18
29,visit_scan,Field_23,Rover0,11:20:17,11:20:21
30,visit_scan,Field_17,Rover1,11:20:18,11:20:25
32,visit_scan,Field_2,Rover1,11:20:26,11:21:14
33,visit_scan,Field_1,Rover1,11:21:15,11:21:18
59,restore_humidity,Field_2,Rover1,11:21:18,11:21:22
34,visit_scan,Field_3,Rover1,11:21:22,11:21:25
31,visit_scan,Field_0,Rover0,11:20:22,11:21:27
35,visit_scan,Field_4,Rover1,11:21:26,11:21:29
63,restore_humidity,Field_3,Rover0,11:21:27,11:22:15
36,visit_scan,Field_5,Rover1,11:21:30,11:22:16
64,restore_humidity,Field_4,Rover0,11:22:15,11:22:19
37,visit_scan,Field_7,Rover1,11:22:16,11:22:22
39,visit_scan,Field_8,Rover1,11:22:22,11:22:26
68,restore_humidity,Field_7,Rover1,11:22:26,11:22:30
38,visit_scan,Field_6,Rover0,11:22:19,11:22:31
70,restore_humidity,Field_6,Rover0,11:22:31,11:22:32
41,visit_scan,Field_10,Rover0,11:22:33,11:23:16
40,visit_scan,Field_9,Rover1,11:22:30,11:23:19
42,visit_scan,Field_12,Rover0,11:23:17,11:23:32
44,visit_scan,Field_11,Rover1,11:23:20,11:23:34
74,restore_humidity,Field_9,Rover0,11:23:33,11:24:18
45,visit_scan,Field_14,Rover1,11:23:35,11:24:20
47,visit_scan,Field_16,Rover1,11:24:20,11:24:25
46,visit_scan,Field_15,Rover0,11:24:19,11:24:30
78,restore_humidity,Field_14,Rover1,11:24:25,11:24:32
51,visit_scan,Field_20,Rover1,11:24:32,11:24:35
52,visit_scan,Field_19,Rover1,11:24:35,11:24:37
