Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
2,explore_point,explore_point_-4.4_-4.2,Rover1,0.0,15.85000000000009
4,explore_point,explore_point_-4.4_-3.8,Rover1,16.400000000000098,19.30000000000014
5,explore_point,explore_point_-4.4_-3.6,Rover1,19.850000000000147,21.950000000000177
6,explore_point,explore_point_-4.4_-3.4,Rover1,22.500000000000185,25.400000000000226
7,explore_point,explore_point_-4.4_-3.2,Rover1,25.950000000000234,27.450000000000255
8,explore_point,explore_point_-4.4_-3.0,Rover1,28.000000000000263,30.900000000000304
3,explore_point,explore_point_-4.4_-4.0,Rover2,0.0,33.00000000000026
9,explore_point,explore_point_-4.4_-2.8,Rover1,31.450000000000312,34.200000000000195
11,explore_point,explore_point_-4.4_-2.4,Rover1,34.75000000000016,38.64999999999994
12,explore_point,explore_point_-4.4_-2.2,Rover1,39.19999999999991,41.49999999999978
13,explore_point,explore_point_-4.4_-2.0,Rover1,42.04999999999975,44.14999999999963
10,explore_point,explore_point_-4.4_-2.6,Rover2,33.55000000000023,45.449999999999555
14,explore_point,explore_point_-4.4_-1.8,Rover1,44.6999999999996,48.04999999999941
16,explore_point,explore_point_-4.4_-1.4,Rover1,48.599999999999376,52.09999999999918
15,explore_point,explore_point_-4.4_-1.6,Rover2,45.999999999999524,54.799999999999024
17,explore_point,explore_point_-4.4_-1.2,Rover1,52.649999999999146,56.199999999998944
19,explore_point,explore_point_-4.4_-0.8,Rover1,56.74999999999891,62.99999999999856
20,explore_point,explore_point_-4.4_-0.6,Rover1,63.44999999999853,67.29999999999832
21,explore_point,explore_point_-4.4_-0.4,Rover1,67.7499999999983,69.04999999999822
18,explore_point,explore_point_-4.4_-1.0,Rover2,55.34999999999899,111.99999999999578
22,explore_point,explore_point_-4.4_-0.2,Rover1,69.4999999999982,121.59999999999523
23,explore_point,explore_point_-4.4_0.0,Rover2,112.49999999999575,124.49999999999507
24,explore_point,explore_point_-4.4_0.2,Rover1,122.1499999999952,126.64999999999495
1,explore_point,explore_point_-4.4_-4.4,Rover0,0.0,127.14999999999492
25,explore_point,explore_point_-4.4_0.4,Rover2,125.04999999999504,129.84999999999528
26,explore_point,explore_point_-4.4_0.6,Rover1,127.5499999999949,132.04999999999578
