Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
109,visit_scan,Field_16,Rover0,3160.75,3164.3
110,visit_scan,Field_18,Rover0,3164.75,3172
111,visit_scan,Field_19,Rover0,3172.45,3186.35
114,visit_scan,Field_20,Rover0,3186.8,3190.2
115,visit_scan,Field_21,Rover0,3190.65,3194.95
116,visit_scan,Field_22,Rover0,3195.4,3199.1
118,visit_scan,Field_0,Rover0,3199.55,3327.45
144,restore_humidity,Field_21,Rover0,3327.9,3344.7
146,restore_humidity,Field_0,Rover0,3345.15,3361.25
119,visit_scan,Field_23,Rover0,3361.7,3494.55
121,visit_scan,Field_2,Rover0,3495,3509.55
122,visit_scan,Field_1,Rover0,3510,3513.7
123,visit_scan,Field_3,Rover0,3514.15,3520.7
124,visit_scan,Field_4,Rover0,3521.15,3525
152,restore_humidity,Field_3,Rover0,3525.45,3529.65
153,restore_humidity,Field_4,Rover0,3530.1,3649.15
125,visit_scan,Field_5,Rover0,3649.6,3663.5
126,visit_scan,Field_6,Rover0,3663.95,3667.5
156,restore_humidity,Field_5,Rover0,3667.95,3672.15
157,restore_humidity,Field_6,Rover0,3672.6,3677.05
127,visit_scan,Field_7,Rover0,3677.5,3682.1
129,visit_scan,Field_8,Rover0,3682.55,3686.4
130,visit_scan,Field_10,Rover0,3686.85,3697.8
131,visit_scan,Field_9,Rover0,3698.25,3811.9
133,visit_scan,Field_11,Rover0,3812.35,3832.05
134,visit_scan,Field_12,Rover0,3832.5,3840.25
135,visit_scan,Field_13,Rover0,3840.7,3844.5
136,visit_scan,Field_14,Rover0,3844.95,3958.55
138,visit_scan,Field_17,Rover0,3959,3968.85
167,restore_humidity,Field_14,Rover0,3969.3,3979.8
168,restore_humidity,Field_17,Rover0,3980.25,3990.75
139,visit_scan,Field_15,Rover0,3991.2,3998.05
140,visit_scan,Field_16,Rover0,3998.5,4116.3
141,visit_scan,Field_18,Rover0,4116.75,4124.05
142,visit_scan,Field_19,Rover0,4124.5,4138.25
173,restore_humidity,Field_18,Rover0,4138.7,4153.35
143,visit_scan,Field_20,Rover0,4153.8,4164.4
145,visit_scan,Field_22,Rover0,4164.85,4281.9
147,visit_scan,Field_21,Rover0,4282.35,4285.8
148,visit_scan,Field_0,Rover0,4286.25,4302.8
149,visit_scan,Field_23,Rover0,4303.25,4322.5
