Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
1,adjust_pH,Field_9,Rover0,0,1.5
2,adjust_pH,Field_10,Rover1,0,7.45
3,adjust_pH,Field_19,Rover2,0,14.15
4,adjust_pH,Field_23,Rover0,1.95,15.95
5,restore_humidity,Field_1,Rover0,52.35,92.3
6,restore_humidity,Field_17,Rover0,160.85,198.45
8,visit_scan,Field_1,Rover1,194.55,203.6
7,visit_scan,Field_0,Rover2,176.9,205.05
9,visit_scan,Field_2,Rover0,198.9,211.1
10,visit_scan,Field_3,Rover1,204.05,212.65
13,visit_scan,Field_6,Rover1,213.1,220.4
14,visit_scan,Field_7,Rover1,220.85,224.25
15,visit_scan,Field_8,Rover1,224.7,228.6
16,visit_scan,Field_9,Rover1,229.05,273.65
11,visit_scan,Field_4,Rover2,205.5,276.95
12,visit_scan,Field_5,Rover0,211.55,279.65
18,visit_scan,Field_11,Rover2,277.4,290.7
17,visit_scan,Field_10,Rover1,274.1,291.75
19,visit_scan,Field_12,Rover0,280.1,293.4
21,visit_scan,Field_14,Rover1,292.2,296.7
23,visit_scan,Field_16,Rover1,297.15,375
22,visit_scan,Field_15,Rover0,293.85,378.7
24,visit_scan,Field_18,Rover1,375.45,383.45
25,visit_scan,Field_19,Rover0,379.15,384.85
20,visit_scan,Field_13,Rover2,291.15,386
27,visit_scan,Field_21,Rover0,385.3,392.95
28,visit_scan,Field_22,Rover2,386.45,394.85
26,visit_scan,Field_20,Rover1,383.9,397.4
29,visit_scan,Field_23,Rover2,395.3,472.8
30,visit_scan,Field_17,Rover1,397.85,478.5
49,restore_humidity,Field_13,Rover0,393.4,481
33,visit_scan,Field_2,Rover0,481.45,491.9
32,visit_scan,Field_1,Rover1,478.95,493.6
34,visit_scan,Field_3,Rover0,492.35,496.4
35,visit_scan,Field_6,Rover1,494.05,498.4
31,visit_scan,Field_0,Rover2,473.25,499.5
36,visit_scan,Field_7,Rover0,496.85,572.2
58,restore_humidity,Field_3,Rover1,498.85,577.7
37,visit_scan,Field_8,Rover2,499.95,580.15
38,visit_scan,Field_9,Rover0,572.65,581.75
39,visit_scan,Field_4,Rover1,578.15,583.6
40,visit_scan,Field_5,Rover2,580.6,592.5
42,visit_scan,Field_10,Rover1,584.05,666.9
41,visit_scan,Field_11,Rover0,582.2,669.1
44,visit_scan,Field_14,Rover1,667.35,672
43,visit_scan,Field_12,Rover2,592.95,675.9
46,visit_scan,Field_15,Rover1,672.45,676.8
45,visit_scan,Field_16,Rover0,669.55,677.75
50,visit_scan,Field_21,Rover0,678.2,682.2
48,visit_scan,Field_19,Rover1,677.25,683.6
47,visit_scan,Field_18,Rover2,676.75,684.75
73,restore_humidity,Field_18,Rover2,685.2,686.7
72,adjust_pH,Field_16,Rover0,682.65,690.05
75,restore_humidity,Field_21,Rover0,690.5,767.25
51,visit_scan,Field_22,Rover1,684.05,770.75
52,visit_scan,Field_20,Rover0,767.7,772.2
