Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
173,explore_point,explore_point_-1.0_-3.0,Rover2,4440.500000007389,4445.6500000074075
175,explore_point,explore_point_-1.0_-2.0,Rover2,4446.2000000074095,4453.700000007437
176,explore_point,explore_point_-1.0_-1.5,Rover2,4454.250000007439,4458.350000007454
174,explore_point,explore_point_-1.0_-2.5,Rover1,4443.100000007398,4460.350000007461
177,explore_point,explore_point_-1.0_-1.0,Rover2,4458.900000007456,4464.050000007474
171,explore_point,explore_point_-1.0_-4.0,Rover0,4194.350000006493,4466.0000000074815
179,explore_point,explore_point_-1.0_0.0,Rover2,4464.600000007476,4472.750000007506
178,explore_point,explore_point_-1.0_-0.5,Rover1,4460.900000007463,4477.750000007524
181,explore_point,explore_point_-1.0_1.0,Rover2,4473.300000007508,4482.05000000754
183,explore_point,explore_point_-1.0_2.0,Rover2,4482.600000007542,4490.050000007569
184,explore_point,explore_point_-1.0_2.5,Rover2,4493.10000000758,4500.700000007608
185,explore_point,explore_point_-1.0_3.0,Rover2,4501.150000007609,4503.250000007617
186,explore_point,explore_point_-1.0_3.5,Rover2,4503.700000007619,4505.800000007626
187,explore_point,explore_point_-1.0_4.0,Rover2,4506.250000007628,4508.950000007638
182,explore_point,explore_point_-1.0_1.5,Rover1,4478.300000007526,4696.050000008318
188,explore_point,explore_point_-1.0_4.5,Rover2,4509.400000007639,4696.950000008322
180,explore_point,explore_point_-1.0_0.5,Rover0,4466.5500000074835,4702.900000008343
189,explore_point,explore_point_-1.0_5.0,Rover1,4696.950000008322,4722.200000008414
191,explore_point,explore_point_-0.5_-4.5,Rover0,4703.450000008345,4738.000000008471
193,explore_point,explore_point_-0.5_-3.5,Rover0,4738.550000008473,4744.850000008496
194,explore_point,explore_point_-0.5_-3.0,Rover0,4745.400000008498,4944.0000000092205
195,explore_point,explore_point_-0.5_-2.5,Rover0,4944.5500000092225,4948.450000009237
