Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
1,adjust_pH,Field_9,Rover0,0,1.5
2,adjust_pH,Field_19,Rover1,0,14.5
3,adjust_pH,Field_23,Rover2,0,21.15
4,restore_humidity,Field_1,Rover0,41.05,52.45
5,adjust_pH,Field_10,Rover0,82.4,148.65
8,visit_scan,Field_1,Rover0,149.1,157.5
6,restore_humidity,Field_17,Rover1,137.95,158.7
9,visit_scan,Field_2,Rover0,159.15,162.85
11,visit_scan,Field_4,Rover0,163.3,170.1
10,visit_scan,Field_3,Rover1,159.15,171.4
7,visit_scan,Field_0,Rover2,146.15,172.6
13,visit_scan,Field_6,Rover1,171.85,246.45
14,visit_scan,Field_7,Rover2,173.05,247.55
15,visit_scan,Field_8,Rover1,246.9,254.7
16,visit_scan,Field_9,Rover2,248,255.95
12,visit_scan,Field_5,Rover0,170.55,257.4
18,visit_scan,Field_12,Rover2,256.4,262.25
17,visit_scan,Field_11,Rover1,255.15,265.6
21,visit_scan,Field_15,Rover1,266.05,336.25
20,visit_scan,Field_14,Rover2,262.7,344.55
22,visit_scan,Field_16,Rover1,336.7,346.25
19,visit_scan,Field_13,Rover0,257.85,350.15
46,restore_humidity,Field_13,Rover0,350.6,352.15
24,visit_scan,Field_19,Rover1,346.7,356.7
23,visit_scan,Field_18,Rover2,345,362.45
26,visit_scan,Field_21,Rover1,357.15,364.8
27,visit_scan,Field_22,Rover2,362.9,369.05
25,visit_scan,Field_20,Rover0,352.6,432.95
28,visit_scan,Field_23,Rover1,365.25,436.6
51,adjust_pH,Field_22,Rover0,433.4,441.7
31,visit_scan,Field_17,Rover0,442.15,445.7
29,visit_scan,Field_10,Rover2,369.5,446.55
30,visit_scan,Field_1,Rover1,437.05,457.15
33,visit_scan,Field_3,Rover2,447,524.2
32,visit_scan,Field_2,Rover0,446.55,525.4
36,visit_scan,Field_6,Rover0,525.85,530.9
58,restore_humidity,Field_2,Rover0,531.35,537.05
34,visit_scan,Field_4,Rover1,457.6,537.95
35,visit_scan,Field_0,Rover2,524.65,538.8
59,restore_humidity,Field_3,Rover0,537.5,543.75
38,visit_scan,Field_5,Rover2,539.25,544.7
39,visit_scan,Field_8,Rover0,544.2,548.7
40,visit_scan,Field_9,Rover0,549.15,553
37,visit_scan,Field_7,Rover1,538.8,617.8
41,visit_scan,Field_12,Rover0,611.8,622.55
42,visit_scan,Field_11,Rover1,618.25,624.25
64,adjust_pH,Field_3,Rover2,545.15,626
43,visit_scan,Field_15,Rover1,624.7,630
68,restore_humidity,Field_7,Rover0,623,632.15
45,visit_scan,Field_16,Rover1,630.45,635.45
47,visit_scan,Field_13,Rover0,632.6,641
48,visit_scan,Field_19,Rover1,635.9,644
76,restore_humidity,Field_19,Rover1,644.45,645.95
44,visit_scan,Field_14,Rover2,626.45,710.05
49,visit_scan,Field_18,Rover0,641.45,711.35
53,visit_scan,Field_23,Rover0,711.8,716.35
50,visit_scan,Field_21,Rover1,646.4,716.75
52,visit_scan,Field_20,Rover2,710.5,717.95
54,visit_scan,Field_22,Rover1,717.2,721.55
79,restore_humidity,Field_18,Rover0,717.2,723.55
80,restore_humidity,Field_21,Rover2,718.4,725.3
